id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1221328322577043461,1221328322577043461,2020-01-26 07:05:37 UTC,2020-01-26,07:05:37,+0000,1689516060,vincent13031925,vincentyu.eth,,Tesla Semi With Wrapped Windows And Lights Sighted In Transport Carrier at CA 5 Freeway  $TSLA #Tesla #Semi    https://t.co/H7SlySH5QE,en,[],['https://www.tesmanian.com/blogs/tesmanian-blog/tesla-semi-sighted-mysteriously-wrapped-in-transport-carrier'],[],5,19,106,"['tesla', 'semi']",['tsla'],https://twitter.com/vincent13031925/status/1221328322577043461,False,,0,,,,,,,,[],,,,
1221324449175175168,1221324449175175168,2020-01-26 06:50:14 UTC,2020-01-26,06:50:14,+0000,943010101283250176,ia_panorama,ИА «Панорама»,,"Илон Маск признался, что создал Tesla из-за зависти к «Роснано»  «Мы смотрели, что делали эти русские, и понимали: если мы не начнём заниматься чем-то подобным прямо сейчас, технологическая бездна между нами может стать непреодолимой», — сказал он.   https://t.co/Vlfoxtcpqm",ru,[],['https://panorama.pub/23255-ilon-mask-zaviduet.html'],[],27,75,399,[],[],https://twitter.com/ia_panorama/status/1221324449175175168,False,,0,,,,,,,,[],,,,
1221319745615663104,1221319745615663104,2020-01-26 06:31:33 UTC,2020-01-26,06:31:33,+0000,35233615,imerkouri,Илиас Меркури,,"В Сибири электрокары нагревают с помощью автономных дизельных отопителей. Их устанавливают под капот. Ещё раз. Дизельный отопитель салона в электрокаре. Почему не устанавливают дизельный генератор в багажнике не сообщают. Хотя, один из владельцев Tesla в Москве уже так делал.",ru,[],[],[],26,57,195,[],[],https://twitter.com/imerkouri/status/1221319745615663104,False,,0,,,,,,,,[],,,,
1221318108264091649,1221318108264091649,2020-01-26 06:25:02 UTC,2020-01-26,06:25:02,+0000,1689516060,vincent13031925,vincentyu.eth,,"Thanks for sharing @TeslaNY  This is exactly what I have been saying, 150-200K united for China market alone.   $TSLA #Tesla #China #GF3",en,"[{'screen_name': 'teslany', 'name': 'tesla new york', 'id': '1374059611'}]",[],[],8,19,103,"['tesla', 'china', 'gf3']",['tsla'],https://twitter.com/vincent13031925/status/1221318108264091649,False,https://twitter.com/TeslaNY/status/1221166807559614465,0,,,,,,,,[],,,,
1221311873414582274,1221311873414582274,2020-01-26 06:00:16 UTC,2020-01-26,06:00:16,+0000,3108351,wsj,The Wall Street Journal,,"“The only EVs that are selling well are from Tesla,” said Subaru’s Tomomi Nakamura  https://t.co/StC4q8tTa0",en,[],['https://on.wsj.com/3aEy8eo'],[],10,22,75,[],[],https://twitter.com/WSJ/status/1221311873414582274,False,,0,,,,,,,,[],,,,
1221308283497197568,1221308283497197568,2020-01-26 05:46:00 UTC,2020-01-26,05:46:00,+0000,1308211178,teslarati,TESLARATI,,An enthusiastic Elon Musk greets passerby while riding shotgun in the Tesla #Cybertruck during yesterday's filming of Jay Leno's Garage  https://t.co/tYTfLoyXGm,en,[],['https://www.teslarati.com/tesla-cybertruck-elon-musk-rides-passenger-jay-lenos-garage/'],[],7,62,843,['cybertruck'],[],https://twitter.com/Teslarati/status/1221308283497197568,False,,0,,,,,,,,[],,,,
1221300556376891394,1221300556376891394,2020-01-26 05:15:17 UTC,2020-01-26,05:15:17,+0000,560174496,ludicrousfeed,Ludicrous Feed,,Elon Musk  Driving his Cybertruck Next to you  In traffic That’s all @elonmusk @Tesla    https://t.co/vfayvc6V8n,en,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}, {'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",['https://twitter.com/engineers_feed/status/1221297398812749824/video/1'],[],34,224,1238,[],[],https://twitter.com/LudicrousFeed/status/1221300556376891394,False,,0,,,,,,,,[],,,,
1221300424013037568,1221300424013037568,2020-01-26 05:14:46 UTC,2020-01-26,05:14:46,+0000,1139310453987745792,thirdrowtesla,Third Row Tesla Podcast,,Tesla Semi Thug life 😎   https://t.co/gMDeJmQsHR,ht,[],['https://twitter.com/jgrano305/status/1221287734184116225/video/1'],[],27,70,845,[],[],https://twitter.com/thirdrowtesla/status/1221300424013037568,False,,0,,,,,,,,[],,,,
1221300210757844992,1221300210757844992,2020-01-26 05:13:55 UTC,2020-01-26,05:13:55,+0000,71077864,megangale,Megan #ChasingSunsets,,Another angle from tonights #chasingsunsets @tesla @elonmusk  https://t.co/dq0c6WXpOc,en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}, {'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],['https://pbs.twimg.com/media/EPLuEQnVAAALpOh.jpg'],4,7,102,['chasingsunsets'],[],https://twitter.com/megangale/status/1221300210757844992,False,,1,https://pbs.twimg.com/media/EPLuEQnVAAALpOh.jpg,,,,,,,[],,,,
1221297591490678784,1221297591490678784,2020-01-26 05:03:31 UTC,2020-01-26,05:03:31,+0000,1118594454515003393,dirtytesla,Dirty Tesla,,70%+ of my viewers don't own a @Tesla,en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",[],[],23,1,100,[],[],https://twitter.com/DirtyTesLa/status/1221297591490678784,False,,0,,,,,,,,[],,,,
