Date,date,Diff
2019-03-01,20190301,-1.0
2019-03-04,20190304,-1.0
2019-03-05,20190305,-1.0
2019-03-06,20190306,-1.0
2019-03-07,20190307,1.0
2019-03-08,20190308,1.0
2019-03-11,20190311,1.0
2019-03-12,20190312,1.0
2019-03-13,20190313,-1.0
2019-03-14,20190314,1.0
2019-03-15,20190315,-1.0
2019-03-18,20190318,-1.0
2019-03-19,20190319,-1.0
2019-03-20,20190320,1.0
2019-03-21,20190321,1.0
2019-03-22,20190322,-1.0
2019-03-25,20190325,-1.0
2019-03-26,20190326,-1.0
2019-03-27,20190327,1.0
2019-03-28,20190328,1.0
2019-03-29,20190329,1.0
2019-04-01,20190401,1.0
2019-04-02,20190402,1.0
2019-04-03,20190403,-1.0
2019-04-04,20190404,-1.0
2019-04-05,20190405,-1.0
2019-04-08,20190408,1.0
2019-04-09,20190409,-1.0
2019-04-10,20190410,1.0
2019-04-11,20190411,-1.0
2019-04-12,20190412,-1.0
2019-04-15,20190415,1.0
2019-04-16,20190416,-1.0
2019-04-17,20190417,1.0
2019-04-18,20190418,-1.0
2019-04-22,20190422,-1.0
2019-04-23,20190423,-1.0
2019-04-24,20190424,1.0
2019-04-25,20190425,-1.0
2019-04-26,20190426,-1.0
2019-04-29,20190429,-1.0
2019-04-30,20190430,1.0
2019-05-01,20190501,-1.0
2019-05-02,20190502,1.0
2019-05-03,20190503,1.0
2019-05-06,20190506,1.0
2019-05-07,20190507,1.0
2019-05-08,20190508,-1.0
2019-05-09,20190509,-1.0
2019-05-10,20190510,-1.0
2019-05-13,20190513,-1.0
2019-05-14,20190514,-1.0
2019-05-15,20190515,1.0
2019-05-16,20190516,-1.0
2019-05-17,20190517,-1.0
2019-05-20,20190520,-1.0
2019-05-21,20190521,-1.0
2019-05-22,20190522,-1.0
2019-05-23,20190523,-1.0
2019-05-24,20190524,1.0
2019-05-28,20190528,-1.0
2019-05-29,20190529,-1.0
2019-05-30,20190530,1.0
2019-05-31,20190531,-1.0
2019-06-03,20190603,-1.0
2019-06-04,20190604,-1.0
2019-06-05,20190605,1.0
2019-06-06,20190606,1.0
2019-06-07,20190607,1.0
2019-06-10,20190610,1.0
2019-06-11,20190611,1.0
2019-06-12,20190612,1.0
2019-06-13,20190613,-1.0
2019-06-14,20190614,1.0
2019-06-17,20190617,1.0
2019-06-18,20190618,1.0
2019-06-19,20190619,1.0
2019-06-20,20190620,-1.0
2019-06-21,20190621,-1.0
2019-06-24,20190624,1.0
2019-06-25,20190625,1.0
2019-06-26,20190626,-1.0
2019-06-27,20190627,-1.0
2019-06-28,20190628,1.0
2019-07-01,20190701,1.0
2019-07-02,20190702,1.0
2019-07-03,20190703,1.0
2019-07-05,20190705,1.0
2019-07-08,20190708,-1.0
2019-07-09,20190709,-1.0
2019-07-10,20190710,1.0
2019-07-11,20190711,1.0
2019-07-12,20190712,1.0
2019-07-15,20190715,1.0
2019-07-16,20190716,1.0
2019-07-17,20190717,1.0
2019-07-18,20190718,1.0
2019-07-19,20190719,1.0
2019-07-22,20190722,1.0
2019-07-23,20190723,-1.0
2019-07-24,20190724,1.0
2019-07-25,20190725,-1.0
2019-07-26,20190726,-1.0
2019-07-29,20190729,-1.0
2019-07-30,20190730,1.0
2019-07-31,20190731,1.0
2019-08-01,20190801,1.0
2019-08-02,20190802,-1.0
2019-08-05,20190805,-1.0
2019-08-06,20190806,-1.0
2019-08-07,20190807,-1.0
2019-08-08,20190808,1.0
2019-08-09,20190809,1.0
