,date,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,Diff
871,20190614,0.3462306374308235,0.45844523418,0.3061480193104042,0.1960147239927273,0.2923238663231318,0.361423585668736,0.4173545538656487,0.3110934480518688,0.1527658597229006,0.2645118250288197,0.3852298346230898,0.3682669815125,0.3002763498673781,0.1508835195149999,0.2534439917115249,0.3508977426909197,0.4657138722840908,0.3018265772913966,0.1676783260840909,0.2507519106940404,0.3549802245987326,0.4702160644264707,0.324602481576264,0.0824587238514705,0.1976136808262656,1.0
874,20190617,0.3828315798736034,0.3945647512439023,0.3093107783630617,0.1729693487792682,0.263227387150547,0.3717946744277671,0.3780085957966101,0.3086861263414988,0.132759990359322,0.2472330390558516,0.3556131182724726,0.4529382231574257,0.3176209433711655,0.1136485572623762,0.2304006356521676,0.3462306374308235,0.45844523418,0.3061480193104042,0.1960147239927273,0.2923238663231318,0.361423585668736,0.4173545538656487,0.3110934480518688,0.1527658597229006,0.2645118250288197,1.0
875,20190618,0.3670152893933863,0.3858833818461538,0.2978813740100939,0.1963030480586538,0.2898558138903599,0.3828315798736034,0.3945647512439023,0.3093107783630617,0.1729693487792682,0.263227387150547,0.3717946744277671,0.3780085957966101,0.3086861263414988,0.132759990359322,0.2472330390558516,0.3556131182724726,0.4529382231574257,0.3176209433711655,0.1136485572623762,0.2304006356521676,0.3462306374308235,0.45844523418,0.3061480193104042,0.1960147239927273,0.2923238663231318,1.0
876,20190619,0.3798860589806777,0.3824083407714285,0.2998747469689682,0.2348861464266667,0.3049463352079018,0.3670152893933863,0.3858833818461538,0.2978813740100939,0.1963030480586538,0.2898558138903599,0.3828315798736034,0.3945647512439023,0.3093107783630617,0.1729693487792682,0.263227387150547,0.3717946744277671,0.3780085957966101,0.3086861263414988,0.132759990359322,0.2472330390558516,0.3556131182724726,0.4529382231574257,0.3176209433711655,0.1136485572623762,0.2304006356521676,-1.0
877,20190620,0.3853423100676029,0.3795352669909639,0.3121926666426328,0.1362707852590362,0.244711730160374,0.3798860589806777,0.3824083407714285,0.2998747469689682,0.2348861464266667,0.3049463352079018,0.3670152893933863,0.3858833818461538,0.2978813740100939,0.1963030480586538,0.2898558138903599,0.3828315798736034,0.3945647512439023,0.3093107783630617,0.1729693487792682,0.263227387150547,0.3717946744277671,0.3780085957966101,0.3086861263414988,0.132759990359322,0.2472330390558516,-1.0
878,20190621,0.3664355958167717,0.4119210811574074,0.3158857294191087,0.1180969587953703,0.2309965378547576,0.3853423100676029,0.3795352669909639,0.3121926666426328,0.1362707852590362,0.244711730160374,0.3798860589806777,0.3824083407714285,0.2998747469689682,0.2348861464266667,0.3049463352079018,0.3670152893933863,0.3858833818461538,0.2978813740100939,0.1963030480586538,0.2898558138903599,0.3828315798736034,0.3945647512439023,0.3093107783630617,0.1729693487792682,0.263227387150547,-1.0
881,20190624,0.375305459927655,0.3934673831569893,0.3065022201281093,0.1568386362956989,0.2618897033218236,0.3583901289993031,0.4435420268434785,0.3031767619663685,0.1764923948026087,0.2650143482714898,0.3842644038475953,0.3969410501359224,0.3079377163166951,0.1579270834456309,0.2566999170557836,0.3664355958167717,0.4119210811574074,0.3158857294191087,0.1180969587953703,0.2309965378547576,0.3853423100676029,0.3795352669909639,0.3121926666426328,0.1362707852590362,0.244711730160374,1.0
882,20190625,0.3726552273065883,0.3525778166351065,0.3033575248452914,0.1065549545138297,0.2277424199017294,0.375305459927655,0.3934673831569893,0.3065022201281093,0.1568386362956989,0.2618897033218236,0.3583901289993031,0.4435420268434785,0.3031767619663685,0.1764923948026087,0.2650143482714898,0.3842644038475953,0.3969410501359224,0.3079377163166951,0.1579270834456309,0.2566999170557836,0.3664355958167717,0.4119210811574074,0.3158857294191087,0.1180969587953703,0.2309965378547576,-1.0
883,20190626,0.3640817176521063,0.3936828857239581,0.313207450356516,0.0825155763510416,0.1866376860226237,0.3726552273065883,0.3525778166351065,0.3033575248452914,0.1065549545138297,0.2277424199017294,0.375305459927655,0.3934673831569893,0.3065022201281093,0.1568386362956989,0.2618897033218236,0.3583901289993031,0.4435420268434785,0.3031767619663685,0.1764923948026087,0.2650143482714898,0.3842644038475953,0.3969410501359224,0.3079377163166951,0.1579270834456309,0.2566999170557836,-1.0
884,20190627,0.3753996649404366,0.3656782401075951,0.3202376283811518,0.0925449971696202,0.2059495243005726,0.3640817176521063,0.3936828857239581,0.313207450356516,0.0825155763510416,0.1866376860226237,0.3726552273065883,0.3525778166351065,0.3033575248452914,0.1065549545138297,0.2277424199017294,0.375305459927655,0.3934673831569893,0.3065022201281093,0.1568386362956989,0.2618897033218236,0.3583901289993031,0.4435420268434785,0.3031767619663685,0.1764923948026087,0.2650143482714898,1.0
