,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,Date,Diff
714,0.3101912700455497,0.527171874949367,0.2953485615034926,0.1840414240341771,0.2774756656845762,0.2244843814864758,0.610201012,0.2219880050584702,0.01472786502,0.0081331714043916,0.2867238975632412,0.5920823457575759,0.2751084860187941,0.1041448989272727,0.2002877331097481,0.2650755903857519,0.6479343922222222,0.2527980933223265,0.0188742308666666,0.0252808011647374,0.2497263352170494,0.5390822315384616,0.21796315939899,0.0400919582615384,0.0833550449299045,0.2684631298380396,0.5847008508717949,0.259452846607989,0.0420555793615384,0.1199191624522796,0.2616763371723131,0.7766295083061223,0.260105879619315,0.0333627989632653,0.0833428044678159,2016-01-29,1.0
717,0.3206663295925762,0.4821390876086955,0.2875347267335856,0.065009967573913,0.1651846677942497,0.2961926634250341,0.5398920694499999,0.2729350972061848,0.03988475145,0.1079308872821752,0.254681774268725,0.5999557066785718,0.2502050327461345,0.0544384699053571,0.1638647981271356,0.3101912700455497,0.527171874949367,0.2953485615034926,0.1840414240341771,0.2774756656845762,0.2244843814864758,0.610201012,0.2219880050584702,0.01472786502,0.0081331714043916,0.2867238975632412,0.5920823457575759,0.2751084860187941,0.1041448989272727,0.2002877331097481,0.2650755903857519,0.6479343922222222,0.2527980933223265,0.0188742308666666,0.0252808011647374,2016-02-01,1.0
718,0.2331849937682994,0.6406824061333334,0.2316565423771777,0.0171830595133333,0.0137460617560535,0.3206663295925762,0.4821390876086955,0.2875347267335856,0.065009967573913,0.1651846677942497,0.2961926634250341,0.5398920694499999,0.2729350972061848,0.03988475145,0.1079308872821752,0.254681774268725,0.5999557066785718,0.2502050327461345,0.0544384699053571,0.1638647981271356,0.3101912700455497,0.527171874949367,0.2953485615034926,0.1840414240341771,0.2774756656845762,0.2244843814864758,0.610201012,0.2219880050584702,0.01472786502,0.0081331714043916,0.2867238975632412,0.5920823457575759,0.2751084860187941,0.1041448989272727,0.2002877331097481,2016-02-02,-1.0
719,0.3179937324908519,0.3432158891666666,0.28910128525157,0.0267709882444444,0.0543359370710037,0.2331849937682994,0.6406824061333334,0.2316565423771777,0.0171830595133333,0.0137460617560535,0.3206663295925762,0.4821390876086955,0.2875347267335856,0.065009967573913,0.1651846677942497,0.2961926634250341,0.5398920694499999,0.2729350972061848,0.03988475145,0.1079308872821752,0.254681774268725,0.5999557066785718,0.2502050327461345,0.0544384699053571,0.1638647981271356,0.3101912700455497,0.527171874949367,0.2953485615034926,0.1840414240341771,0.2774756656845762,0.2244843814864758,0.610201012,0.2219880050584702,0.01472786502,0.0081331714043916,2016-02-03,1.0
720,0.3453322411272467,0.4279664212272727,0.2995352957104149,0.1030019076136363,0.2343358088196384,0.3179937324908519,0.3432158891666666,0.28910128525157,0.0267709882444444,0.0543359370710037,0.2331849937682994,0.6406824061333334,0.2316565423771777,0.0171830595133333,0.0137460617560535,0.3206663295925762,0.4821390876086955,0.2875347267335856,0.065009967573913,0.1651846677942497,0.2961926634250341,0.5398920694499999,0.2729350972061848,0.03988475145,0.1079308872821752,0.254681774268725,0.5999557066785718,0.2502050327461345,0.0544384699053571,0.1638647981271356,0.3101912700455497,0.527171874949367,0.2953485615034926,0.1840414240341771,0.2774756656845762,2016-02-04,1.0
721,0.2398103329332665,0.5916314457692307,0.2643066894501413,0.1211803180576923,0.26108218176986,0.3453322411272467,0.4279664212272727,0.2995352957104149,0.1030019076136363,0.2343358088196384,0.3179937324908519,0.3432158891666666,0.28910128525157,0.0267709882444444,0.0543359370710037,0.2331849937682994,0.6406824061333334,0.2316565423771777,0.0171830595133333,0.0137460617560535,0.3206663295925762,0.4821390876086955,0.2875347267335856,0.065009967573913,0.1651846677942497,0.2961926634250341,0.5398920694499999,0.2729350972061848,0.03988475145,0.1079308872821752,0.254681774268725,0.5999557066785718,0.2502050327461345,0.0544384699053571,0.1638647981271356,2016-02-05,-1.0
724,0.2776613961220523,0.57600365,0.2446940808482304,0.0514489856625,0.1113684712779242,0.2645204364047687,0.6969027154054053,0.2754785668992289,0.0800612921972973,0.1735884169728307,0.2550648542141051,0.4879627570270271,0.2162437345483495,0.0640942173324324,0.1512007111610241,0.2398103329332665,0.5916314457692307,0.2643066894501413,0.1211803180576923,0.26108218176986,0.3453322411272467,0.4279664212272727,0.2995352957104149,0.1030019076136363,0.2343358088196384,0.3179937324908519,0.3432158891666666,0.28910128525157,0.0267709882444444,0.0543359370710037,0.2331849937682994,0.6406824061333334,0.2316565423771777,0.0171830595133333,0.0137460617560535,2016-02-08,-1.0
725,0.1038025584120796,0.7732144850000001,0.1121491418834187,0.06858167125,0.1288956619692331,0.2776613961220523,0.57600365,0.2446940808482304,0.0514489856625,0.1113684712779242,0.2645204364047687,0.6969027154054053,0.2754785668992289,0.0800612921972973,0.1735884169728307,0.2550648542141051,0.4879627570270271,0.2162437345483495,0.0640942173324324,0.1512007111610241,0.2398103329332665,0.5916314457692307,0.2643066894501413,0.1211803180576923,0.26108218176986,0.3453322411272467,0.4279664212272727,0.2995352957104149,0.1030019076136363,0.2343358088196384,0.3179937324908519,0.3432158891666666,0.28910128525157,0.0267709882444444,0.0543359370710037,2016-02-09,1.0
726,0.122372525855504,0.7582245727777779,0.1576004944809484,0.1030011639111111,0.1669159168337341,0.1038025584120796,0.7732144850000001,0.1121491418834187,0.06858167125,0.1288956619692331,0.2776613961220523,0.57600365,0.2446940808482304,0.0514489856625,0.1113684712779242,0.2645204364047687,0.6969027154054053,0.2754785668992289,0.0800612921972973,0.1735884169728307,0.2550648542141051,0.4879627570270271,0.2162437345483495,0.0640942173324324,0.1512007111610241,0.2398103329332665,0.5916314457692307,0.2643066894501413,0.1211803180576923,0.26108218176986,0.3453322411272467,0.4279664212272727,0.2995352957104149,0.1030019076136363,0.2343358088196384,2016-02-10,-1.0
727,0.2955425447591341,0.5496708341666668,0.2697158201817587,0.0667819789766666,0.1337297687663388,0.122372525855504,0.7582245727777779,0.1576004944809484,0.1030011639111111,0.1669159168337341,0.1038025584120796,0.7732144850000001,0.1121491418834187,0.06858167125,0.1288956619692331,0.2776613961220523,0.57600365,0.2446940808482304,0.0514489856625,0.1113684712779242,0.2645204364047687,0.6969027154054053,0.2754785668992289,0.0800612921972973,0.1735884169728307,0.2550648542141051,0.4879627570270271,0.2162437345483495,0.0640942173324324,0.1512007111610241,0.2398103329332665,0.5916314457692307,0.2643066894501413,0.1211803180576923,0.26108218176986,2016-02-11,-1.0
